pg_container  | 
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:45:03.838 UTC [4020] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:45:03.838 UTC [4020] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:45:03.973 UTC [4021] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:45:03.973 UTC [4021] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:45:10.098 UTC [4029] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:45:10.098 UTC [4029] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:45:10.231 UTC [4030] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:45:10.231 UTC [4030] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:45:16.408 UTC [4045] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:45:16.408 UTC [4045] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:45:16.542 UTC [4046] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:45:16.542 UTC [4046] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:45:22.825 UTC [4054] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:45:22.825 UTC [4054] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:45:22.943 UTC [4055] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:45:22.943 UTC [4055] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:45:26.657 UTC [4063] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:45:26.657 UTC [4063] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:45:26.784 UTC [4064] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:45:26.784 UTC [4064] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:45:33.017 UTC [4072] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:45:33.017 UTC [4072] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:45:33.155 UTC [4079] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:45:33.155 UTC [4079] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:45:39.215 UTC [4089] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:45:39.215 UTC [4089] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:45:39.347 UTC [4090] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:45:39.347 UTC [4090] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:45:45.587 UTC [4099] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:45:45.587 UTC [4099] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:45:45.716 UTC [4100] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:45:45.716 UTC [4100] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:45:51.768 UTC [4108] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:45:51.768 UTC [4108] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:45:51.891 UTC [4109] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:45:51.891 UTC [4109] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:45:55.345 UTC [4117] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:45:55.345 UTC [4117] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:45:55.469 UTC [4118] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:45:55.469 UTC [4118] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:46:01.641 UTC [4133] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:46:01.641 UTC [4133] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:46:01.764 UTC [4134] FATAL:  password authentication failed for user "airflow"
pg_container  | 2025-11-27 04:46:01.764 UTC [4134] DETAIL:  Role "airflow" does not exist.
pg_container  | 	Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
pg_container  | 2025-11-27 04:46:07.842 UTC [1] LOG:  received fast shutdown request
pg_container  | 2025-11-27 04:46:07.846 UTC [1] LOG:  aborting any active transactions
pg_container  | 2025-11-27 04:46:07.853 UTC [1] LOG:  background worker "logical replication launcher" (PID 32) exited with exit code 1
pg_container  | 2025-11-27 04:46:07.854 UTC [27] LOG:  shutting down
pg_container  | 2025-11-27 04:46:07.859 UTC [27] LOG:  checkpoint starting: shutdown immediate
pg_container  | 2025-11-27 04:46:07.887 UTC [27] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.012 s, sync=0.001 s, total=0.033 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=0 kB; lsn=0/49C8C110, redo lsn=0/49C8C110
pg_container  | 2025-11-27 04:46:07.903 UTC [1] LOG:  database system is shut down
